"X","State.Code","County.Code","Site.Num","Parameter.Code","POC","Latitude","Longitude","Datum","Parameter.Name","Date.Local","Time.Local","Date.GMT","Time.GMT","Sample.Measurement","Units.of.Measure","MDL","Uncertainty","Qualifier","Method.Type","Method.Code","Method.Name","State.Name","County.Name","Date.of.Last.Change"
4581,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","03:00","2022-01-08","11:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4582,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","04:00","2022-01-08","12:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4583,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","05:00","2022-01-08","13:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4584,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","06:00","2022-01-08","14:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4585,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","07:00","2022-01-08","15:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4586,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","08:00","2022-01-08","16:00",0.004,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4587,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","09:00","2022-01-08","17:00",0.013,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4588,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","10:00","2022-01-08","18:00",0.021,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4589,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","11:00","2022-01-08","19:00",0.025,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4590,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","12:00","2022-01-08","20:00",0.03,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4591,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","13:00","2022-01-08","21:00",0.031,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4592,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","14:00","2022-01-08","22:00",0.032,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4593,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","15:00","2022-01-08","23:00",0.033,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4594,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","16:00","2022-01-09","00:00",0.032,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4595,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","17:00","2022-01-09","01:00",0.025,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4596,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","18:00","2022-01-09","02:00",0.018,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4597,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","19:00","2022-01-09","03:00",0.007,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4598,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","20:00","2022-01-09","04:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4599,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","21:00","2022-01-09","05:00",0.003,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4600,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","22:00","2022-01-09","06:00",0.005,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4601,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-08","23:00","2022-01-09","07:00",0.012,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4665,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-12","00:00","2022-01-12","08:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4666,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-12","01:00","2022-01-12","09:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4667,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-12","02:00","2022-01-12","10:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4668,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-12","03:00","2022-01-12","11:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
4669,6,67,6,44201,1,38.613779,-121.368014,"WGS84","Ozone","2022-01-12","04:00","2022-01-12","12:00",0.002,"Parts per million",0.005,NA,"","FEM",87,"INSTRUMENTAL - ULTRA VIOLET ABSORPTION","California","Sacramento","2022-08-02"
